,name
0,K'omm B'lanxx 
1,Zviad Baazovi 
2,Baby 
3,Bane 
4,Banks 
5,Jason Bard 
6,Baron Bedlam 
7,Bash Bashford 
8,Batman 
9,Batwoman 
10,Bear 
11,Beast Boy 
12,Karen Beecher 
13,Floyd Bell 
14,Leroy Bell 
15, Category:Belle Reve Penitentiary 
16,Beluga 
17,Benny 
18,Beowulf 
19,Ida Berkowitz 
20,Berra 
21,Beth 
22,Bibbo Bibbowski 
23,Big Barda 
24,Biggitz 
25,Bio-Ship 
26,Black Adam 
27,Black Beetle 
28,Black Canary 
29,Black Canary I 
30,Black Lightning 
31,Black Manta 
32,Black Mary 
33,Black Spider 
34,Blackbriar Thorn 
35,Kevin Blankly 
36,Blister 
37,Blockbuster 
38,Jason Blood 
39,Blubber 
40,Blue Beetle 
41,Blue Devil 
42,Maurice Bodaway 
43,Boka 
44,Ramon Bracuda 
45,Brain 
46,Brainiac-5 
47,Branwilla 
48,Brenda 
49,Brick 
50,Casey Brinke 
51,Brucely 
52,Harvey Bullock 
53,Jason Burr 
