,name
0,Garn Daanuth 
1,Daddy Lidz 
2,Charlie Daggett 
3,Damian 
4,Pete Danbury 
5,Jim Daniels 
6,Danuuth 
7,Gabrielle Daou 
8,Madia Daou 
9,Samad Daou 
10,Darkseid 
11,Galet Dasim 
12,Malet Dasim 
13,Noble Davis 
14,Steve Dayton 
15,Deadshot 
16,Deathstroke 
17,Cairo DeFrey 
18,Ilona DeLamb-Markov 
19,Delphis 
20,Denny 
21,Desaad 
22,Despero 
23,Detective Chimp 
24,Devastation 
25,Devourer 
26,Djuba 
27,Doctor Fate 
28,Doctor Mid-Nite 
29,Doctor Occult 
30,Tod Donner 
31,Eduardo Dorado Sr. 
32,Draaga 
33,Dragon King 
34,Dragon's Breath 
35,Richard Dragon 
36,Dreamer 
37,Johnny Drew 
38,Dubbilex 
39,Uncle Dudley 
40,Malcolm Duncan 
41,Rhea Beecher-Duncan 
42,Calvin Durham 
