,name
0,Gaby Gabrielli 
1,Kaizen Gamorra 
2,Luis Garcia 
3,Maria Garcia 
4,Guy Gardner 
5,Dan Garrett 
6,Jay Garrick 
7,Joan Garrick 
8,Geo-Force 
9,Ra's al Ghul 
10,Talia al Ghul 
11,Giant 
12,Gilotina 
13,Git N Payd 
14,Glass Man 
15,G. Gordon Godfrey 
16,Gog 
17,Golden Roc 
18,Golem 
19,Selena Gonzalez 
20,Gretchen Goode 
21,James Gordon 
22,Gorilla Grodd 
23,Granny Goodness 
24,Cat Grant 
25,John Grayson 
26,John Grayson (Dick's cousin) 
27,Karla Grayson 
28,Mary Grayson 
29,Richard Grayson (Dick's uncle) 
30,Grayven 
31,Green Arrow 
32,Green Beetle's Bio-Ship 
33,Green Lantern Forager 
34,Guardian I 
35,Dale Gunn 
