,name
0,S'yraa S'mitt 
1,Sabbac 
2,Sackett 
3,Sanchez 
4,Sandman 
5,Helena Sandsmark 
6,Sardath 
7,Saturn Girl 
8,Cassandra Savage 
9,Olympia Savage 
10,Vandal Savage 
11,Scarab 
12,J. Anson Schwartz 
13,Scientist 
14,Alan Scott 
15,Secret 
16,Sensei 
17,Serifan 
18,Nanaue Sha'ark 
19,Sha'lain'a 
20,Shade 
21,William Shakespeare 
22,Sharon 
23,Shazam 
24,Shazam (Wizard) 
25,Shimmer 
26,Simeon 
27,Sindella 
28,Paul Sloane 
29,Solomon 
30,Solovar 
31,Amanda Spence 
32,Sphere 
33,Spoiler 
34,Sportsmaster 
35,K'rii St'ferr 
36,Simon Stagg 
37,Sandra Stanyon 
38,Stargirl 
39,Starro 
40,Static 
41,Steel 
42,John Stewart 
43,Lynn Stewart-Pierce 
44,Brom Stikk 
45,Nikolas Stofka 
46,Stone God 
47,Silas Stone 
48,Adam Strange 
49,Hugo Strange 
50,Sun-Eater 
51,Superboy 
52,Supergirl 
53,Superman 
54,Sylvester the Skyman 
